# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  114       4.150575186656e-10       1.272712744066e-13      -4.241814422371e-12       5.576155895177e-16       7.630408514257e-12       1.160717952097e-12      -6.429746533936e-15 
  115       4.194454123988e-10       1.287580200999e-13      -4.322729519239e-12       5.677255990102e-16       7.452896484739e-12       1.139502753478e-12      -6.407835872163e-15 
  116       4.238486724153e-10       1.301990841321e-13      -4.402685560981e-12       5.779426778933e-16       7.280138161951e-12       1.118732936780e-12      -6.377325270800e-15 
  117       4.282666533318e-10       1.315930225042e-13      -4.481611783667e-12       5.882675384436e-16       7.112067467153e-12       1.098404124693e-12      -6.337784543115e-15 
  118       4.326987964480e-10       1.329384482661e-13      -4.559435640405e-12       5.987009045808e-16       6.948698090907e-12       1.078523862647e-12      -6.289831569727e-15 
  119       4.371444574531e-10       1.342340058091e-13      -4.636084327533e-12       6.092435107987e-16       6.790017216812e-12       1.059097070196e-12      -6.234143664033e-15 
  120       4.416029036861e-10       1.354783722345e-13      -4.711484812868e-12       6.198961021898e-16       6.635984709040e-12       1.040125955362e-12      -6.171458913851e-15 
  121       4.460733113957e-10       1.366702587231e-13      -4.785563863959e-12       6.306594344699e-16       6.486532299884e-12       1.021609928981e-12      -6.102577523060e-15 
  122       4.505547630010e-10       1.378084119035e-13      -4.858248076342e-12       6.415342740027e-16       6.341562777300e-12       1.003545519044e-12      -6.028363153243e-15 
  123       4.550462443518e-10       1.388916152214e-13      -4.929463901795e-12       6.525213978244e-16       6.200949172450e-12       9.859262850488e-13      -5.949744265323e-15 
  124       4.595466419887e-10       1.399186903078e-13      -4.999137676585e-12       6.636215936684e-16       6.064533947247e-12       9.687427323382e-13      -5.867715461212e-15 
  125       4.640547404037e-10       1.408884983488e-13      -5.067195649728e-12       6.748356599899e-16       5.932128181897e-12       9.519822264487e-13      -5.783338825445e-15 
  126       4.685692193003e-10       1.417999414536e-13      -5.133564011236e-12       6.861644059903e-16       5.803510762444e-12       9.356289074548e-13      -5.697745266826e-15 
  127       4.730886508537e-10       1.426519640237e-13      -5.198168920376e-12       6.976086516421e-16       5.678427568312e-12       9.196636043131e-13      -5.612135860065e-15 
  128       4.776114969716e-10       1.434435541218e-13      -5.260936533920e-12       7.091692277133e-16       5.556590659849e-12       9.040637492083e-13      -5.527783187422e-15 
  129       4.821362716692e-10       1.441737894969e-13      -5.321794393558e-12       7.208469904802e-16       5.437740167219e-12       8.888085993766e-13      -5.445786001283e-15 
  130       4.866620541555e-10       1.448419784608e-13      -5.380675700221e-12       7.326428676373e-16       5.321839358902e-12       8.738957321815e-13      -5.366299932754e-15 
  131       4.911880271177e-10       1.454475371245e-13      -5.437515564231e-12       7.445578174935e-16       5.208899536687e-12       8.593262061216e-13      -5.289224533439e-15 
  132       4.957133151091e-10       1.459899477993e-13      -5.492249725782e-12       7.565928148643e-16       5.098918892331e-12       8.450993683485e-13      -5.214441970290e-15 
  133       5.002369829904e-10       1.464687606852e-13      -5.544814592911e-12       7.687488512012e-16       4.991882143769e-12       8.312128069904e-13      -5.141816602110e-15 
  134       5.047580343720e-10       1.468835955591e-13      -5.595147279486e-12       7.810269347219e-16       4.887760171327e-12       8.176623034754e-13      -5.071194556041e-15 
  135       5.092754100553e-10       1.472341434634e-13      -5.643185643176e-12       7.934280905394e-16       4.786509653934e-12       8.044417848545e-13      -5.002403304065e-15 
  136       5.137879864751e-10       1.475201683942e-13      -5.688868323436e-12       8.059533607922e-16       4.688072705332e-12       7.915432761254e-13      -4.935251239498e-15 
  137       5.182945741408e-10       1.477415089900e-13      -5.732134779485e-12       8.186038047740e-16       4.592376510287e-12       7.789568525554e-13      -4.869527253484e-15 
  138       5.227939160789e-10       1.478980802197e-13      -5.772925328281e-12       8.313804990630e-16       4.499332960802e-12       7.666705920050e-13      -4.805000311495e-15 
  139       5.272846862741e-10       1.479898750712e-13      -5.811181182503e-12       8.442845376520e-16       4.408838292328e-12       7.546705272510e-13      -4.741419029822e-15 
  140       5.317654881118e-10       1.480169662401e-13      -5.846844488530e-12       8.573170320781e-16       4.320772719975e-12       7.429405983103e-13      -4.678511252073e-15 
  141       5.362348528194e-10       1.479795078174e-13      -5.879858364420e-12       8.704791115523e-16       4.235000074724e-12       7.314626047626e-13      -4.615983625670e-15 
  142       5.406912379083e-10       1.478777369786e-13      -5.910166937886e-12       8.837719230889e-16       4.151367439639e-12       7.202161580741e-13      -4.553521178342e-15 
  143       5.451330256161e-10       1.477119756718e-13      -5.937715384277e-12       8.971966316361e-16       4.069704786077e-12       7.091786339208e-13      -4.490786894622e-15 
  144       5.495586533155e-10       1.474826414611e-13      -5.962450286737e-12       9.107543029281e-16       3.989860623985e-12       6.983300709284e-13      -4.427491598646e-15 
  145       5.539670225243e-10       1.471902776984e-13      -5.984320676516e-12       9.244455387541e-16       3.911813681929e-12       6.876685118479e-13      -4.363612261360e-15 
  146       5.583571274441e-10       1.468355295498e-13      -6.003277167893e-12       9.382708058113e-16       3.835571596934e-12       6.771960912243e-13      -4.299194510613e-15 
  147       5.627279258211e-10       1.464191368328e-13      -6.019271684682e-12       9.522305492132e-16       3.761135733626e-12       6.669142057099e-13      -4.234284238155e-15 
  148       5.670783381457e-10       1.459419357577e-13      -6.032257500066e-12       9.663251919454e-16       3.688501027424e-12       6.568234948156e-13      -4.168927580197e-15 
  149       5.714072468534e-10       1.454048606683e-13      -6.042189276422e-12       9.805551343213e-16       3.617655827727e-12       6.469238216616e-13      -4.103170897962e-15 
  150       5.757134955244e-10       1.448089457832e-13      -6.049023105158e-12       9.949207534378e-16       3.548581741104e-12       6.372142537285e-13      -4.037060758241e-15 
  151       5.799958880845e-10       1.441553269366e-13      -6.052716546538e-12       1.009422402631e-15       3.481253474484e-12       6.276930436082e-13      -3.970643913950e-15 
  152       5.842531880050e-10       1.434452433194e-13      -6.053228669515e-12       1.024060410932e-15       3.415638678344e-12       6.183576097554e-13      -3.903967284682e-15 
  153       5.884841175029e-10       1.426800392201e-13      -6.050520091560e-12       1.038835082522e-15       3.351697789896e-12       6.092045172378e-13      -3.837077937265e-15 
  154       5.926873567415e-10       1.418611657661e-13      -6.044553018494e-12       1.053746696190e-15       3.289383876279e-12       6.002294584878e-13      -3.770023066311e-15 
  155       5.968615430301e-10       1.409901826644e-13      -6.035291284319e-12       1.068795504785e-15       3.228642477748e-12       5.914272340533e-13      -3.702849974780e-15 
